Vertex count,Edge count,a) avg. runtime,b) avg. runtime
10,17,1087645,908079
11,25,358750,341295
12,107,314208,345437
13,127,277579,316650
14,7,117504,116246
15,179,312475,314641
16,151,286641,283116
17,201,291833,304403
18,150,329000,335941
19,91,335079,333995
20,236,341966,361045
21,75,395920,397120
22,391,356212,356016
23,59,383066,405004
24,405,403383,441679
25,301,440862,419562
26,200,444512,455554
27,10,143087,153008
28,150,513870,489262
29,534,447858,473200
30,692,461099,460462
31,50,515062,542225
32,379,513120,524662
33,35,212037,180099
34,60,492279,192279
35,264,634149,615174
36,825,563604,572462
37,520,644137,655520
38,1272,606462,633924
39,157,727387,710591
40,1388,633662,626195
41,151,675075,670270
42,973,820516,783174
43,804,1715087,1558329
44,1605,776166,1072508
45,1567,705012,759575
46,1743,727462,785954
47,1078,793737,809666
48,959,738383,787945
49,311,876558,883970
50,509,852758,891800
