Vertex count,Edge count,a) avg. runtime,b) avg. runtime
10,45,1275258,1090558
11,81,341520,368812
12,88,333458,361891
13,73,522100,378650
14,11,114237,110774
15,61,638425,750083
16,200,295475,361762
17,83,279616,367150
18,195,280212,306916
19,78,354583,371562
20,247,302912,355670
21,223,315841,360841
22,383,316974,403237
23,10,140121,190854
24,474,348358,374541
25,12,155846,131412
26,401,420754,378395
27,22,152191,152283
28,353,470975,471145
29,287,497733,469912
30,478,504266,603975
31,721,1183083,1243858
32,442,684346,748954
33,270,586620,583233
34,5,178412,201625
35,45,196324,182883
36,418,629946,607612
37,1068,594133,636108
38,567,616345,637604
39,764,623137,651633
40,1378,649316,672670
41,1599,624191,681404
42,1477,643070,663571
43,321,719770,713450
44,127,759750,772241
45,950,720350,702695
46,492,776795,749987
47,390,773137,758337
48,385,794854,794137
49,1398,750654,751195
50,1441,754637,781650
51,1255,837166,818283
52,857,928100,862750
53,384,1190345,1468570
54,1043,901908,970454
55,1905,914899,933528
56,1288,949258,964945
57,1964,925558,915162
58,2064,914816,919816
59,3201,909670,938675
60,2693,911970,938045
61,2438,966566,959596
62,2253,999237,1013575
63,2014,1059074,1062366
64,2121,1054404,1049370
65,137,1365291,1378999
66,2660,1066537,1083779
67,3507,1024829,1057108
68,1916,1116991,1105212
69,4244,1062971,1099879
70,800,1278779,1264008
71,3438,1120670,1148354
72,2192,1142729,1117708
73,3647,1122904,1157262
74,5295,1100945,1158654
75,1686,1243058,1171366
76,1133,1295820,1376483
77,1130,1438400,1426154
78,3236,1256229,1255737
79,513,1897700,2231437
80,5813,1262195,1289016
81,4251,1245895,1304716
82,5565,1289737,1304166
83,739,1555437,1576233
84,3715,1329195,1357366
85,5199,1316420,1364862
86,3356,1358454,1406491
87,1966,1436870,1512087
88,5608,1392729,1474787
89,5210,1429620,1473658
90,4610,1424479,1460758
91,7644,1367712,1482787
92,3542,1502012,1552641
93,3446,1693366,1884208
94,2989,1696904,1981896
95,1655,1639145,1639491
96,1838,1746929,1746408
97,255,2421504,2403008
98,2769,1660316,1678883
99,7106,1529908,1635058
100,8431,1572495,1663258
