Vertex count,Edge count,a) avg. runtime,b) avg. runtime
10,67,381483,377950
11,82,356754,354400
12,99,377287,351779
13,117,289666,300508
14,136,293479,287258
15,157,259191,265424
16,180,321254,317524
17,204,316446,314595
18,229,367133,349233
19,256,340679,334141
20,285,317650,350254
21,315,373362,395283
22,346,377729,378262
23,379,521320,451483
24,414,919745,1133858
25,450,568253,496170
26,487,473408,449796
27,526,436750,442204
28,567,452604,473858
29,609,534670,545724
30,652,543758,570870
31,697,496129,544941
32,744,563479,555525
33,792,614862,600575
34,841,605170,585641
35,892,652746,611962
36,945,749162,765912
37,999,640987,656537
38,1054,695579,681375
39,1111,678241,699675
40,1170,693775,688649
41,1230,866012,864141
42,1291,824349,826729
43,1354,802158,815445
44,1419,1466916,1366175
45,1485,853066,907233
46,1552,853254,862966
47,1621,801233,780229
48,1692,909566,918221
49,1764,897820,936837
50,1837,949245,938087
51,1912,915187,929024
52,1989,1035600,1029908
53,2067,994879,1023725
54,2146,972208,1004695
55,2227,1013449,1009758
56,2310,1000583,1015837
57,2394,1143158,1152783
58,2479,1121262,1146154
59,2566,1156458,1212966
60,2655,2036716,1691291
61,2745,1358579,1234066
62,2836,1212320,1279445
63,2929,1198945,1255641
64,3024,1207471,1234020
65,3120,1204791,1250304
66,3217,1174420,1219774
67,3316,1275400,1346841
68,3417,1292583,1305158
69,3519,1342566,1375216
70,3622,1218991,1257166
71,3727,1486683,1546891
72,3834,1383762,1429208
73,3942,2019450,2161504
74,4051,1335525,1375579
75,4162,1481445,1526429
76,4275,1701762,1786708
77,4389,1396233,1454191
78,4504,2118866,2327908
79,4621,1819066,1571933
80,4740,1572725,1603329
81,4860,1469187,1521508
82,4981,1524520,1593991
83,5104,1843900,1912920
84,5229,1560629,1647870
85,5355,1534029,1598504
86,5482,1667008,1707383
87,5611,1761733,1800529
88,5742,2499262,2255350
89,5874,1915162,1903504
90,6007,1695075,1791779
91,6142,1764887,1855329
92,6279,1654600,1755150
93,6417,1898554,1937841
94,6556,1842395,1914066
95,6697,1927541,1988566
96,6840,1979225,2060695
97,6984,2827183,2810287
98,7129,1952016,2008320
99,7276,2174183,2298041
100,7425,2009129,2108925
