Vertex count,Edge count,a) avg. runtime,b) avg. runtime
10,45,510337,482229
11,55,354587,340975
12,66,343187,341012
13,78,299387,294875
14,91,344950,346833
15,105,310112,317200
16,120,316666,323983
17,136,316449,299241
18,153,357695,362762
19,171,335912,324925
20,190,327795,318949
21,210,344912,359549
22,231,358254,364496
23,253,340604,345291
24,276,444054,381879
25,300,417958,449620
26,325,464779,483733
27,351,469120,463554
28,378,485253,546333
29,406,568941,896637
30,435,959583,879412
31,465,555746,668812
32,496,555933,553624
33,528,574716,558596
34,561,612695,631975
35,595,651962,651633
36,630,719258,719825
37,666,646491,657800
38,703,701866,708500
39,741,726654,708312
40,780,706524,745908
41,820,733887,729221
42,861,809533,805933
43,903,755679,752224
44,946,730421,758483
45,990,815870,781675
46,1035,837504,837266
47,1081,1841458,1192975
48,1128,893775,888212
49,1176,889937,889883
50,1225,931854,947900
51,1275,916920,906724
52,1326,971158,1002395
53,1378,1026383,1042108
54,1431,1017662,1021308
55,1485,1014345,1028695
56,1540,1085008,1100824
57,1596,1035991,1048500
58,1653,1176133,1200612
59,1711,1113016,1138716
60,1770,1178283,1192174
61,1830,1211108,1216654
62,1891,1796791,2114787
63,1953,1152929,1181253
64,2016,1273600,1313025
65,2080,1345891,1363066
66,2145,1232495,1252999
67,2211,1234716,1308224
68,2278,1300966,1318020
69,2346,1467521,1471733
70,2415,1417766,1410245
71,2485,1308941,1345366
72,2556,1349641,1366858
73,2628,1425999,1432404
74,2701,1734533,1807929
75,2775,1886516,1573062
76,2850,1511637,1550883
77,2926,1490978,1513779
78,3003,1547354,1644916
79,3081,1513141,1495691
80,3160,2304533,2150350
81,3240,1591583,1595233
82,3321,1801966,1832404
83,3403,1737916,1715304
84,3486,1674537,1728804
85,3570,1644045,1782845
86,3655,1729775,1807070
87,3741,1704012,1802404
88,3828,1658749,1761429
89,3916,1864399,1884604
90,4005,2255566,2624083
91,4095,1770258,1807545
92,4186,1787549,1817608
93,4278,1742191,1802945
94,4371,2052766,2072933
95,4465,1902279,1982500
96,4560,1878808,1875804
97,4656,1829558,1886116
98,4753,2517150,2627145
99,4851,2016533,2184883
100,4950,1943487,2131516
