Vertex count,Edge count,a) avg. runtime,b) avg. runtime
10,22,953316,876849
11,27,468541,457900
12,33,346633,326470
13,39,298608,309553
14,45,300450,333200
15,52,291870,311600
16,60,318945,294891
17,68,318195,327358
18,76,315329,332054
19,85,381266,381929
20,95,390662,388945
21,105,387679,391775
22,115,433474,417362
23,126,400412,380570
24,138,580920,436433
25,150,457141,457700
26,162,547054,522987
27,175,469829,512541
28,189,478537,478320
29,203,510158,497966
30,217,542825,538641
31,232,739275,569529
32,248,556437,577325
33,264,592675,582762
34,280,592212,601229
35,297,1337054,1721170
36,315,823770,737821
37,333,643933,651516
38,351,710454,708550
39,370,687954,701295
40,390,689208,701454
41,410,760208,748249
42,430,794095,816420
43,451,842950,888195
44,473,878858,839708
45,495,811841,825295
46,517,801962,836278
47,540,845041,863483
48,564,838170,882616
49,588,855458,909241
50,612,1643412,1674429
51,637,1084862,978108
52,663,970104,988666
53,689,1071458,1088070
54,715,980516,948775
55,742,1162179,1107016
56,770,1025308,1021379
57,798,1030720,1096416
58,826,976808,998287
59,855,1119441,1100462
60,885,1246945,1255179
61,915,1134337,1169758
62,945,1132937,1133466
63,976,1197845,1220554
64,1008,1235875,1236358
65,1040,1849674,2107550
66,1072,1200870,1198341
67,1105,1390995,1371350
68,1139,1260633,1284179
69,1173,1359095,1328695
70,1207,1534433,1510691
71,1242,1377704,1414354
72,1278,1306220,1275895
73,1314,1515850,1551058
74,1350,1419400,1430224
75,1387,1460054,1444395
76,1425,1783525,2378849
77,1463,1460858,1546875
78,1501,1573295,1586204
79,1540,1476741,1515929
80,1580,1486200,1485162
81,1620,1579033,1547662
82,1660,2151466,2603704
83,1701,1608004,1582750
84,1743,1601445,1617062
85,1785,1588825,1582029
86,1827,1726512,1752358
87,1870,1606449,1627371
88,1914,1620883,1670041
89,1958,1777562,1794208
90,2002,1920725,1948674
91,2047,2595904,2360233
92,2093,1803803,1835075
93,2139,1749654,1838854
94,2185,1628983,1728895
95,2232,1935641,1910904
96,2280,1801616,1804908
97,2328,2021120,2011804
98,2376,2010820,2040341
99,2425,1959845,2025787
100,2475,3018099,2735249
